fxosaccx,fxosaccy,fxosaccz,lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,a3,a4,a5,f1,f2,timestamp
1008,-1792,16288,0,0,0,0,0,0,18720,19638,15270,16041,25893,21061,39,1,1070
568,708,16088,0,0,0,0,0,0,20863,20696,17500,14120,23969,17523,39,0,1080
-564,640,18880,0,0,0,0,0,0,21046,26718,12163,21100,21269,15251,39,0,1090
1944,-936,18080,0,0,0,0,0,0,24094,23941,20971,22997,19137,18066,39,1,1100
-704,-212,15464,0,0,0,0,0,0,17858,15802,17143,20063,19081,20087,38,0,1110
1076,-1456,16176,0,0,0,0,0,0,12098,11175,15137,15079,18863,20245,39,1,1120
620,764,16140,0,0,0,0,0,0,14193,17126,20069,23052,24710,19150,40,0,1130
-1656,300,17848,0,0,0,0,0,0,19136,16876,19095,23673,19154,19168,40,0,1140
3052,-596,19372,0,0,0,0,0,0,16308,14405,20883,22998,20205,24805,40,1,1150
-1120,764,14200,0,0,0,0,0,0,23684,21059,25674,18920,19073,19911,39,0,1160
828,-1300,15892,0,0,0,0,0,0,22022,17215,23999,21178,22776,21082,40,1,1170
376,760,17172,0,0,0,0,0,0,18314,22854,19229,24834,29739,23011,41,0,1180
-1320,-988,17240,0,0,0,0,0,0,26975,22600,24944,23812,26128,22846,41,1,1190
2356,636,18560,0,0,0,0,0,0,22733,21823,20852,23925,27702,25976,40,0,1200
-1472,724,16292,0,0,0,0,0,0,22724,24909,25191,21150,26063,19172,41,0,1210
1276,-1644,16304,0,0,0,0,0,0,21046,23943,20938,18851,21081,18176,40,1,1220
-256,496,17308,0,0,0,0,0,0,18720,20914,17124,19997,22098,21114,41,0,1230
436,-1456,16308,0,0,0,0,0,0,22030,16141,21211,22942,21108,17211,41,1,1240
1336,2068,16940,0,0,0,0,0,0,14484,9224,21157,27101,19169,20126,41,0,1250
-1312,700,19172,0,0,0,0,0,0,15839,10336,22098,21903,22917,20995,40,0,1260
